Subgroup,N,Accuracy,Precision,Recall,F1,Prevalence,AUC,Brier,Model,Dataset,Demographic_Parity_Diff,Equalized_Odds_Diff
Other Hispanic | 60+ | Male,146,0.6712328767123288,0.7037037037037037,0.3220338983050847,0.4418604651162791,0.4041095890410959,0.6173777518020651,0.2418114216930388,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Race | 18-39 | Female,90,0.8,0.21739130434782608,1.0,0.35714285714285715,0.05555555555555555,0.948235294117647,0.10849931780062455,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Race | 18-39 | Male,92,0.8043478260869565,0.1111111111111111,0.5,0.18181818181818182,0.043478260869565216,0.6818181818181819,0.12214872875241638,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Race | 40-59 | Female,61,0.5409836065573771,0.25,0.9,0.391304347826087,0.16393442622950818,0.8117647058823529,0.2361378614618743,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Race | 40-59 | Male,77,0.5584415584415584,0.3695652173913043,0.7727272727272727,0.5,0.2857142857142857,0.7115702479338843,0.23346873181363162,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Race | 60+ | Female,47,0.7659574468085106,0.75,0.4,0.5217391304347826,0.3191489361702128,0.73125,0.17544789982506948,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Other Race | 60+ | Male,60,0.5666666666666667,0.5384615384615384,0.25925925925925924,0.35,0.45,0.7171717171717171,0.22188361683542993,RandomForest,NHANES,0.19351704645822296,0.2648245260185559
Mexican American | 18-39 | Female,209,0.937799043062201,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.0861244019138756,0.9028504944735312,0.07119114220527659,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Mexican American | 18-39 | Male,226,0.9734513274336283,0.625,0.625,0.625,0.035398230088495575,0.8985091743119267,0.05479077469629102,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Mexican American | 40-59 | Female,195,0.7743589743589744,0.46,0.575,0.5111111111111111,0.20512820512820512,0.8116129032258065,0.1586311001704019,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Mexican American | 40-59 | Male,155,0.8129032258064516,0.6410256410256411,0.625,0.6329113924050633,0.25806451612903225,0.8171739130434783,0.1670220121583163,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Mexican American | 60+ | Female,116,0.6982758620689655,0.6530612244897959,0.64,0.6464646464646465,0.43103448275862066,0.7781818181818182,0.19484591116161598,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
